t,target_x,target_y,target_h_deg,x,y,h_deg
315.204,,,,-0.0004,0.0004,0.1
315.254,,,,-0.0004,0.0004,0.1
315.305,,,,-0.0004,0.0004,0.1
315.355,,,,-0.0004,0.0004,0.1
315.43,,,,-0.0004,0.0004,0.1
315.48,,,,-0.0004,0.0004,0.1
315.531,,,,-0.0004,0.0004,0.1
315.581,,,,-0.0004,0.0004,0.1
315.632,,,,-0.0004,0.0004,0.1
315.682,,,,-0.0004,0.0004,0.1
315.733,,,,-0.0004,0.0004,0.1
315.784,,,,-0.0004,0.0004,0.1
315.834,,,,-0.0004,0.0004,0.1
315.885,,,,-0.0004,0.0004,0.1
315.936,,,,-0.0004,0.0004,0.1
315.986,,,,-0.0004,0.0004,0.1
316.037,,,,-0.0004,0.0004,0.1
316.087,,,,-0.0004,0.0004,0.1
316.138,,,,-0.0004,0.0004,0.1
316.188,,,,-0.0004,0.0004,0.1
316.239,,,,-0.0004,0.0004,0.1
316.289,,,,-0.0004,0.0004,0.1
316.34,,,,-0.0004,0.0004,0.1
316.39,,,,-0.0004,0.0004,0.1
316.441,,,,-0.0004,0.0004,0.1
316.491,,,,-0.0004,0.0004,0.1
316.542,,,,-0.0004,0.0004,0.1
316.592,,,,-0.0004,0.0004,0.1
316.643,,,,-0.0004,0.0004,0.11
316.694,,,,-0.0004,0.0004,0.1
316.744,,,,-0.0004,0.0004,0.1
316.801,,,,-0.0004,0.0004,0.1
316.852,,,,-0.0004,0.0004,0.1
316.903,,,,-0.0004,0.0004,0.1
316.954,,,,-0.0004,0.0004,0.1
317.004,,,,-0.0004,0.0004,0.1
317.055,,,,-0.0004,0.0004,0.1
317.105,,,,-0.0004,0.0004,0.1
317.156,,,,-0.0004,0.0004,0.1
317.207,,,,-0.0004,0.0004,0.1
317.257,,,,-0.0004,0.0004,0.1
317.308,,,,-0.0004,0.0004,0.1
317.358,,,,-0.0004,0.0004,0.1
317.409,,,,-0.0004,0.0004,0.1
317.459,,,,-0.0004,0.0004,0.1
317.51,,,,-0.0004,0.0004,0.1
317.56,,,,-0.0004,0.0004,0.1
317.611,,,,-0.0004,0.0004,0.1
317.662,,,,-0.0004,0.0004,0.1
317.712,,,,-0.0004,0.0004,0.1
317.763,,,,-0.0004,0.0004,0.1
317.814,,,,-0.0004,0.0004,0.1
317.865,,,,-0.0004,0.0004,0.1
317.916,,,,-0.0004,0.0004,0.1
317.966,,,,-0.0004,0.0004,0.1
318.017,,,,-0.0004,0.0004,0.1
318.068,,,,-0.0004,0.0004,0.1
318.159,,,,-0.0004,0.0004,0.1
318.209,,,,-0.0004,0.0004,0.1
318.26,,,,-0.0004,0.0004,0.1
318.311,,,,-0.0004,0.0004,0.1
318.361,,,,-0.0004,0.0004,0.1
318.412,,,,-0.0004,0.0004,0.1
318.463,,,,-0.0004,0.0004,0.1
318.514,,,,-0.0004,0.0004,0.1
318.564,,,,-0.0004,0.0004,0.1
318.615,,,,-0.0004,0.0004,0.1
318.666,,,,-0.0004,0.0004,0.1
318.716,,,,-0.0004,0.0004,0.1
318.767,,,,-0.0004,0.0004,0.1
318.818,,,,-0.0004,0.0004,0.1
318.868,,,,-0.0004,0.0004,0.1
318.919,,,,-0.0004,0.0004,0.1
318.97,,,,-0.0004,0.0004,0.1
